date,home_team,away_team,home_elo_before,away_elo_before,outcome,tournament
2014-01-07,Qatar,Jordan,1500.0,1500.0,home_win,WAFF Championship
2014-01-29,Mexico,Korea Republic,1500.0,1500.0,home_win,Friendly
2014-02-01,United States,Korea Republic,1500.0,1490.0,home_win,Friendly
2014-03-05,Türkiye,Sweden,1500.0,1500.0,home_win,Friendly
2014-03-05,Switzerland,Croatia,1500.0,1500.0,draw,Friendly
2014-03-05,South Africa,Brazil,1500.0,1500.0,away_win,Friendly
2014-03-05,France,Netherlands,1500.0,1500.0,home_win,Friendly
2014-03-05,Czechia,Norway,1500.0,1500.0,draw,Friendly
2014-03-05,Japan,New Zealand,1500.0,1500.0,home_win,Friendly
2014-03-05,Bosnia and Herzegovina,Egypt,1500.0,1500.0,away_win,Friendly
2014-03-05,Belgium,Côte d'Ivoire,1500.0,1500.0,draw,Friendly
2014-03-05,Austria,Uruguay,1500.0,1500.0,draw,Friendly
2014-03-05,Australia,Ecuador,1500.0,1500.0,away_win,Friendly
2014-03-05,Colombia,Tunisia,1500.0,1500.0,draw,Friendly
2014-05-17,Netherlands,Ecuador,1490.0,1510.0,draw,Friendly
2014-05-26,Australia,South Africa,1490.0,1490.0,draw,Friendly
2014-05-27,France,Norway,1510.0,1500.0,home_win,Friendly
2014-05-28,Korea Republic,Tunisia,1480.28774368332,1500.0,away_win,Friendly
2014-05-30,New Zealand,South Africa,1490.0,1490.0,draw,Friendly
2014-05-30,Bosnia and Herzegovina,Côte d'Ivoire,1490.0,1500.0,home_win,Friendly
2014-05-31,Netherlands,Ghana,1490.5750112778453,1500.0,home_win,Friendly
2014-05-31,Mexico,Ecuador,1510.0,1509.4249887221547,home_win,Friendly
2014-05-31,Colombia,Senegal,1500.0,1500.0,draw,Friendly
2014-06-01,France,Paraguay,1519.71225631668,1500.0,draw,Friendly
2014-06-01,Sweden,Belgium,1490.0,1500.0,away_win,Friendly
2014-06-01,United States,Türkiye,1509.71225631668,1510.0,home_win,Friendly
2014-06-03,Brazil,Panama,1510.0,1500.0,home_win,Friendly
2014-06-03,Czechia,Austria,1500.0,1500.0,away_win,Friendly
2014-06-03,Mexico,Bosnia and Herzegovina,1519.9834498601524,1500.28774368332,away_win,Friendly
2014-06-04,Ecuador,England,1499.4415388620023,1500.0,draw,Friendly
2014-06-06,Croatia,Australia,1500.0,1490.0,home_win,Friendly
2014-06-06,Mexico,Portugal,1509.4171683417792,1500.0,away_win,Friendly
