team,elo_rating
France,1621.1637389841555
Spain,1615.9772481177265
Argentina,1611.1817927293005
Portugal,1600.0766310825602
Austria,1583.6382241942163
Algeria,1582.6282516059068
Brazil,1572.9298587405867
Morocco,1571.665347054215
Croatia,1570.6442284703273
Japan,1568.6937102072193
Belgium,1563.9293808200716
Türkiye,1555.85157084416
Korea Republic,1549.7978509237576
Côte d'Ivoire,1548.3197340510787
Colombia,1541.483729304119
England,1540.772652350824
Senegal,1534.6577416030043
Switzerland,1529.3663590799006
Netherlands,1526.0663712572266
Egypt,1521.6900842274647
Germany,1521.412582747798
Australia,1520.7303724786454
Paraguay,1518.0305930404324
Ecuador,1512.1802888177144
Uruguay,1509.7903853416215
IR Iran,1493.9208905091168
Sweden,1488.6121969840806
Cabo Verde,1482.5745990634828
South Africa,1470.087393597265
Tunisia,1468.0227903594712
Czechia,1461.3127888047363
Curaçao,1457.0204378639414
Mexico,1456.1334327949298
Uzbekistan,1455.5052225261356
Saudi Arabia,1452.5038557829173
Bosnia and Herzegovina,1448.6436102439666
Iraq,1447.6448694773728
DR Congo,1447.4708728770775
Qatar,1445.967954158944
Ghana,1444.6918928379453
United States,1421.9917432402842
Scotland,1420.860246118473
Norway,1408.9341384313145
Haiti,1402.7061129523047
Jordan,1399.0729430831198
Canada,1387.742159440968
Panama,1382.1207765034965
New Zealand,1363.7803442746235
