team,elo_rating
Spain,1705.0116380687498
France,1703.4451442694487
Portugal,1683.9449106625332
Argentina,1678.0147989098198
Brazil,1639.7389225546817
Colombia,1602.842549636343
England,1601.6777123587724
Morocco,1591.3686779210113
Belgium,1585.7189933284494
Netherlands,1578.867474761016
Algeria,1578.66301111759
Germany,1575.646166911522
Croatia,1572.813946823758
Mexico,1572.0427953892097
Ecuador,1564.311001839384
Uruguay,1558.5845861273706
Japan,1556.9727241564221
Austria,1539.7160205479802
Türkiye,1536.2045417881411
Switzerland,1532.9794430536326
Korea Republic,1528.5364250914618
Côte d'Ivoire,1514.8098928236097
Senegal,1514.3889184011673
Tunisia,1507.8131468816273
United States,1500.2117317043414
Canada,1488.6291417617022
Paraguay,1488.5877155887345
Egypt,1486.9521637664307
Australia,1474.5198000889811
Scotland,1459.7049795155908
IR Iran,1452.5831555600314
Cabo Verde,1446.078603497651
Norway,1444.3948754161656
South Africa,1428.6135963959666
Sweden,1415.9236515140253
Jordan,1415.9230334478852
Bosnia and Herzegovina,1410.5476277465734
Czechia,1394.2966849862025
DR Congo,1389.1386408417625
Panama,1388.3121751793476
Ghana,1382.6795816587298
Uzbekistan,1381.6377733626546
Qatar,1374.6904603528458
Curaçao,1371.3927106078775
Iraq,1364.997754631005
Saudi Arabia,1356.2047000298426
New Zealand,1345.1893581094168
Haiti,1314.6766408125352
