date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2014-01-07,Qatar,Jordan,2.0,0.0,WAFF Championship,Doha,Qatar,False
2014-01-29,Mexico,Korea Republic,4.0,0.0,Friendly,San Antonio,United States,True
2014-02-01,United States,Korea Republic,2.0,0.0,Friendly,Carson,United States,False
2014-03-05,Australia,Ecuador,3.0,4.0,Friendly,London,England,True
2014-03-05,Austria,Uruguay,1.0,1.0,Friendly,Klagenfurt,Austria,False
2014-03-05,Belgium,Côte d'Ivoire,2.0,2.0,Friendly,Brussels,Belgium,False
2014-03-05,Bosnia and Herzegovina,Egypt,0.0,2.0,Friendly,Innsbruck,Austria,True
2014-03-05,Colombia,Tunisia,1.0,1.0,Friendly,Barcelona,Spain,True
2014-03-05,Czechia,Norway,2.0,2.0,Friendly,Prague,Czech Republic,False
2014-03-05,France,Netherlands,2.0,0.0,Friendly,Saint-Denis,France,False
2014-03-05,Japan,New Zealand,4.0,2.0,Friendly,Tokyo,Japan,False
2014-03-05,South Africa,Brazil,0.0,5.0,Friendly,Johannesburg,South Africa,False
2014-03-05,Switzerland,Croatia,2.0,2.0,Friendly,St. Gallen,Switzerland,False
2014-03-05,Türkiye,Sweden,2.0,1.0,Friendly,Ankara,Turkey,False
2014-05-17,Netherlands,Ecuador,1.0,1.0,Friendly,Amsterdam,Netherlands,False
2014-05-26,Australia,South Africa,1.0,1.0,Friendly,Sydney,Australia,False
2014-05-27,France,Norway,4.0,0.0,Friendly,Saint-Denis,France,False
2014-05-28,Korea Republic,Tunisia,0.0,1.0,Friendly,Seoul,South Korea,False
2014-05-30,Bosnia and Herzegovina,Côte d'Ivoire,2.0,1.0,Friendly,St. Louis,United States,True
2014-05-30,New Zealand,South Africa,0.0,0.0,Friendly,Auckland,New Zealand,False
2014-05-31,Colombia,Senegal,2.0,2.0,Friendly,Buenos Aires,Argentina,True
2014-05-31,Mexico,Ecuador,3.0,1.0,Friendly,Arlington,United States,True
2014-05-31,Netherlands,Ghana,1.0,0.0,Friendly,Rotterdam,Netherlands,False
2014-06-01,France,Paraguay,1.0,1.0,Friendly,Nice,France,False
2014-06-01,Sweden,Belgium,0.0,2.0,Friendly,Solna,Sweden,False
2014-06-01,United States,Türkiye,2.0,1.0,Friendly,Harrison,United States,False
2014-06-03,Brazil,Panama,4.0,0.0,Friendly,Goiânia,Brazil,False
2014-06-03,Czechia,Austria,1.0,2.0,Friendly,Olomouc,Czech Republic,False
2014-06-03,Mexico,Bosnia and Herzegovina,0.0,1.0,Friendly,Chicago,United States,True
2014-06-04,Ecuador,England,2.0,2.0,Friendly,Miami Gardens,United States,True
2014-06-06,Colombia,Jordan,3.0,0.0,Friendly,Buenos Aires,Argentina,True
2014-06-06,Croatia,Australia,1.0,0.0,Friendly,Salvador,Brazil,True
2014-06-06,Mexico,Portugal,0.0,1.0,Friendly,Foxborough,United States,True
2014-06-07,Belgium,Tunisia,1.0,0.0,Friendly,Brussels,Belgium,False
2014-06-09,Ghana,Korea Republic,4.0,0.0,Friendly,Miami Gardens,United States,True
2014-06-12,Brazil,Croatia,3.0,1.0,FIFA World Cup,São Paulo,Brazil,False
2014-06-13,Spain,Netherlands,1.0,5.0,FIFA World Cup,Salvador,Brazil,True
2014-06-14,Côte d'Ivoire,Japan,2.0,1.0,FIFA World Cup,Recife,Brazil,True
2014-06-15,Argentina,Bosnia and Herzegovina,2.0,1.0,FIFA World Cup,Rio de Janeiro,Brazil,True
2014-06-15,Switzerland,Ecuador,2.0,1.0,FIFA World Cup,Brasília,Brazil,True
2014-06-16,Germany,Portugal,4.0,0.0,FIFA World Cup,Salvador,Brazil,True
2014-06-16,Ghana,United States,1.0,2.0,FIFA World Cup,Natal,Brazil,True
2014-06-17,Belgium,Algeria,2.0,1.0,FIFA World Cup,Belo Horizonte,Brazil,True
2014-06-17,Brazil,Mexico,0.0,0.0,FIFA World Cup,Fortaleza,Brazil,False
2014-06-18,Australia,Netherlands,2.0,3.0,FIFA World Cup,Curitiba,Brazil,True
2014-06-19,Colombia,Côte d'Ivoire,2.0,1.0,FIFA World Cup,Brasília,Brazil,True
2014-06-19,Uruguay,England,2.0,1.0,FIFA World Cup,São Paulo,Brazil,True
2014-06-20,Switzerland,France,2.0,5.0,FIFA World Cup,Salvador,Brazil,True
2014-06-21,Argentina,IR Iran,1.0,0.0,FIFA World Cup,Belo Horizonte,Brazil,True
2014-06-21,Germany,Ghana,2.0,2.0,FIFA World Cup,Fortaleza,Brazil,True
2014-06-22,Korea Republic,Algeria,2.0,4.0,FIFA World Cup,Porto Alegre,Brazil,True
2014-06-22,United States,Portugal,2.0,2.0,FIFA World Cup,Manaus,Brazil,True
2014-06-23,Australia,Spain,0.0,3.0,FIFA World Cup,Curitiba,Brazil,True
2014-06-23,Croatia,Mexico,1.0,3.0,FIFA World Cup,Recife,Brazil,True
2014-06-24,Japan,Colombia,1.0,4.0,FIFA World Cup,Cuiabá,Brazil,True
2014-06-25,Bosnia and Herzegovina,IR Iran,3.0,1.0,FIFA World Cup,Salvador,Brazil,True
2014-06-25,Ecuador,France,0.0,0.0,FIFA World Cup,Rio de Janeiro,Brazil,True
2014-06-26,Korea Republic,Belgium,0.0,1.0,FIFA World Cup,São Paulo,Brazil,True
2014-06-26,Portugal,Ghana,2.0,1.0,FIFA World Cup,Brasília,Brazil,True
2014-06-26,United States,Germany,0.0,1.0,FIFA World Cup,Recife,Brazil,True
2014-06-28,Colombia,Uruguay,2.0,0.0,FIFA World Cup,Rio de Janeiro,Brazil,True
2014-06-29,Netherlands,Mexico,2.0,1.0,FIFA World Cup,Fortaleza,Brazil,True
2014-06-30,Germany,Algeria,2.0,1.0,FIFA World Cup,Porto Alegre,Brazil,True
2014-07-01,Argentina,Switzerland,1.0,0.0,FIFA World Cup,São Paulo,Brazil,True
2014-07-01,Belgium,United States,2.0,1.0,FIFA World Cup,Salvador,Brazil,True
2014-07-04,Brazil,Colombia,2.0,1.0,FIFA World Cup,Fortaleza,Brazil,False
2014-07-04,France,Germany,0.0,1.0,FIFA World Cup,Rio de Janeiro,Brazil,True
2014-07-05,Argentina,Belgium,1.0,0.0,FIFA World Cup,Brasília,Brazil,True
2014-07-08,Brazil,Germany,1.0,7.0,FIFA World Cup,Belo Horizonte,Brazil,False
2014-07-09,Netherlands,Argentina,0.0,0.0,FIFA World Cup,São Paulo,Brazil,True
2014-07-12,Brazil,Netherlands,0.0,3.0,FIFA World Cup,Brasília,Brazil,False
2014-07-13,Germany,Argentina,1.0,0.0,FIFA World Cup,Rio de Janeiro,Brazil,True
2014-09-03,Czechia,United States,0.0,1.0,Friendly,Prague,Czech Republic,False
2014-09-03,England,Norway,1.0,0.0,Friendly,London,England,False
2014-09-03,Germany,Argentina,2.0,4.0,Friendly,Düsseldorf,Germany,False
2014-09-03,Morocco,Qatar,0.0,0.0,Friendly,Rabat,Morocco,False
