date,home_team,away_team,score,group,location
2026-06-11,Mexico,South Africa,,Group A,Mexico City Stadium
2026-06-12,Korea Republic,Czechia,,Group A,Estadio Guadalajara
2026-06-12,Canada,Bosnia and Herzegovina,,Group B,Toronto Stadium
2026-06-12,USA,Paraguay,,Group D,Los Angeles Stadium
2026-06-13,Haiti,Scotland,,Group C,Boston Stadium
2026-06-13,Australia,Turkey,,Group D,BC Place Vancouver
2026-06-13,Brazil,Morocco,,Group C,New York New Jersey Stadium
2026-06-13,Qatar,Switzerland,,Group B,San Francisco Bay Area Stadium
2026-06-14,Cote d'Ivoire,Ecuador,,Group E,Philadelphia Stadium
2026-06-14,Germany,Curacao,,Group E,Houston Stadium
2026-06-14,Netherlands,Japan,,Group F,Dallas Stadium
2026-06-14,Sweden,Tunisia,,Group F,Estadio Monterrey
2026-06-15,Saudi Arabia,Uruguay,,Group H,Miami Stadium
2026-06-15,Spain,Cape Verde,,Group H,Atlanta Stadium
2026-06-15,Iran,New Zealand,,Group G,Los Angeles Stadium
2026-06-15,Belgium,Egypt,,Group G,Seattle Stadium
2026-06-16,France,Senegal,,Group I,New York New Jersey Stadium
2026-06-16,Iraq,Norway,,Group I,Boston Stadium
2026-06-16,Argentina,Algeria,,Group J,Kansas City Stadium
2026-06-16,Austria,Jordan,,Group J,San Francisco Bay Area Stadium
2026-06-17,Ghana,Panama,,Group L,Toronto Stadium
2026-06-17,England,Croatia,,Group L,Dallas Stadium
2026-06-17,Portugal,Congo DR,,Group K,Houston Stadium
2026-06-17,Uzbekistan,Colombia,,Group K,Mexico City Stadium
2026-06-18,Czechia,South Africa,,Group A,Atlanta Stadium
2026-06-18,Switzerland,Bosnia and Herzegovina,,Group B,Los Angeles Stadium
2026-06-18,Canada,Qatar,,Group B,BC Place Vancouver
2026-06-18,Mexico,Korea Republic,,Group A,Estadio Guadalajara
2026-06-19,Brazil,Haiti,,Group C,Philadelphia Stadium
2026-06-19,Scotland,Morocco,,Group C,Boston Stadium
2026-06-19,Turkey,Paraguay,,Group D,San Francisco Bay Area Stadium
2026-06-19,USA,Australia,,Group D,Seattle Stadium
2026-06-20,Germany,Cote d'Ivoire,,Group E,Toronto Stadium
2026-06-20,Ecuador,Curacao,,Group E,Kansas City Stadium
2026-06-20,Netherlands,Sweden,,Group F,Houston Stadium
2026-06-20,Tunisia,Japan,,Group F,Estadio Monterrey
2026-06-21,Uruguay,Cape Verde,,Group H,Miami Stadium
2026-06-21,Spain,Saudi Arabia,,Group H,Atlanta Stadium
2026-06-21,Belgium,Iran,,Group G,Los Angeles Stadium
2026-06-21,New Zealand,Egypt,,Group G,BC Place Vancouver
2026-06-22,Norway,Senegal,,Group I,New York New Jersey Stadium
2026-06-22,France,Iraq,,Group I,Philadelphia Stadium
2026-06-22,Argentina,Austria,,Group J,Dallas Stadium
2026-06-22,Jordan,Algeria,,Group J,San Francisco Bay Area Stadium
2026-06-23,England,Ghana,,Group L,Boston Stadium
2026-06-23,Panama,Croatia,,Group L,Toronto Stadium
2026-06-23,Portugal,Uzbekistan,,Group K,Houston Stadium
2026-06-23,Colombia,Congo DR,,Group K,Estadio Guadalajara
2026-06-24,Scotland,Brazil,,Group C,Miami Stadium
2026-06-24,Morocco,Haiti,,Group C,Atlanta Stadium
2026-06-24,Switzerland,Canada,,Group B,BC Place Vancouver
2026-06-24,Bosnia and Herzegovina,Qatar,,Group B,Seattle Stadium
2026-06-24,Czechia,Mexico,,Group A,Mexico City Stadium
2026-06-24,South Africa,Korea Republic,,Group A,Estadio Monterrey
2026-06-25,Curacao,Cote d'Ivoire,,Group E,Philadelphia Stadium
